loss,grad_norm,ndcg_100,ndcg_500,ndcg_1000,pearson,spearman,hit_100,hit_500,hit_1000
0.06559489068861175,0.07262917007327276,0.8401357550353662,0.8459893520618021,0.768256581713679,0.78821784,0.7788013033248143,0.001911764705882353,0.022323529411764707,0.06876470588235294
0.056648974800834126,0.05659902853698566,0.7718001622386925,0.8405474635403348,0.8643185466508394,0.7508507,0.7873046604241404,0.0007352941176470588,0.003088235294117647,0.003955882352941177
0.05400237786982741,0.057367341415513126,0.7393708538388509,0.8509360881906736,0.8831160607081192,0.6714967,0.7977048061912955,0.03470588235294117,0.026352941176470593,0.04144117647058825
0.05129960532895059,0.06662917446669295,0.9123843742294491,0.9229299494047369,0.9160842826911355,0.63075095,0.803152047585344,0.01632352941176471,0.03411764705882353,0.042426470588235295
0.04926804109967401,0.05995044502474013,0.934220913447907,0.9364250806348197,0.9339007289460522,0.57487607,0.814238964532499,0.021911764705882356,0.05641176470588235,0.07322058823529412
0.04765717419589241,0.05101181670399429,0.9329572038437266,0.9303825412847777,0.9348002963248628,0.5738897,0.8194212703872691,0.021470588235294116,0.04079411764705882,0.06513235294117649
0.046597666489434454,0.048426308086499795,0.923181739631705,0.926594665258053,0.9292395633632312,0.5356497,0.8244506897248916,0.029705882352941176,0.03344117647058824,0.0451764705882353
0.04550887352660029,0.04435937777039257,0.9165579697609038,0.9261649711702771,0.9245211337219952,0.27623117,0.8270482281299185,0.0,0.02808823529411765,0.03451470588235293
0.04457382512338496,0.04244469093657382,0.9439103615262245,0.9391268191684066,0.9414299882881076,0.33184615,0.8275455796306681,0.05088235294117647,0.08176470588235295,0.11226470588235293
0.0440471203973263,0.037998886693311834,0.9522444069460277,0.9423436072848957,0.940198566904497,0.3012249,0.8304019332874624,0.06955882352941176,0.12970588235294117,0.11772058823529413
0.04364345716358406,0.036680375193727424,0.9391772287965834,0.9436976642296909,0.9376295548806262,0.4060029,0.8314774161835482,0.03397058823529412,0.12150000000000001,0.12576470588235297
0.043041539779131735,0.034434992349010776,0.9351534785284654,0.9352745563023944,0.9354797884093897,0.35789233,0.8329477278995506,0.0275,0.06599999999999999,0.10167647058823528
0.042361085852134016,0.032495743832099806,0.9310440850716386,0.9400243733190105,0.9386536442376671,0.43412763,0.8330450401860223,0.014558823529411766,0.12176470588235296,0.14097058823529415
0.0420966723242588,0.031343079066555486,0.9611248819301936,0.9489582695187065,0.9438973981928986,0.3643947,0.8344382436408019,0.10911764705882353,0.16023529411764703,0.14533823529411763
0.04190946784029502,0.030057839364155955,0.962505111698192,0.9512348478892664,0.9458838276550153,0.31257406,0.8354180280273662,0.11073529411764706,0.18188235294117644,0.22479411764705884
0.04168561862839756,0.02870898589198225,0.9648466112717581,0.9482490612854638,0.9442880613682855,0.406728,0.8350965824190985,0.13426470588235292,0.17632352941176468,0.1487647058823529
0.04120256902408375,0.027414889409771107,0.9713095539094944,0.9534221763484427,0.9493142537540801,0.35555708,0.8366355702471093,0.15264705882352944,0.18273529411764705,0.16832352941176468
0.04111184420642154,0.02657672534398551,0.9692173501028831,0.9593430397562233,0.9511817736517852,0.32168826,0.8365516957725357,0.13720588235294118,0.21791176470588236,0.17923529411764705
0.04096384918736218,0.026217997737828343,0.9663190318132917,0.9578148735490231,0.9522846362654934,0.51419884,0.8361320445031731,0.1354411764705883,0.18841176470588233,0.16385294117647062
0.04072022803390799,0.026281503013875,0.9725140145752448,0.9591995785498802,0.9499882147798876,0.40548888,0.8368618268324219,0.15176470588235297,0.22888235294117648,0.22497058823529412
0.04055303313474252,0.02597471951600317,0.972453735924244,0.9606610899926181,0.9561663417907961,0.36317587,0.8381964070320527,0.1585294117647059,0.22147058823529409,0.18157352941176472
0.040466865757097945,0.02656753898456032,0.9738973578820171,0.9618578893397488,0.9511539779520551,0.34123737,0.8380495494145495,0.17058823529411768,0.2595882352941177,0.2030294117647059
0.04032649582157092,0.024657214707304986,0.9738274364133732,0.9646016407684658,0.953549974113503,0.44955674,0.8384372166754348,0.1672058823529412,0.26099999999999995,0.21554411764705886
0.03992418882441638,0.024415639560969395,0.9761341352125497,0.9625545719562925,0.9537143684384302,0.45042905,0.8384289785275781,0.17411764705882354,0.2613529411764705,0.2076764705882353
0.04010699103832587,0.02535823704628962,0.9747692711483492,0.9624437799472507,0.9529513519465034,0.4467561,0.8385710685033553,0.1738235294117647,0.2478823529411765,0.18214705882352944
0.03980393719527571,0.02455849797665241,0.971629389066643,0.9593320392001218,0.9495647908090076,0.47698167,0.8384387994140905,0.1498529411764706,0.2689117647058823,0.24995588235294117
0.03967910976269954,0.023716993701807874,0.9752584298660034,0.9659739669548317,0.956839924053353,0.43151757,0.8398177483516804,0.17529411764705885,0.28044117647058825,0.2194705882352941
0.039708041706793804,0.023484664898800047,0.9748977103949523,0.9612849903709223,0.9528381291381379,0.42215288,0.8389207757389575,0.16691176470588234,0.2970882352941176,0.24098529411764708
